Element,Base Value
1T,0.4
1S,0.4
1Lo,0.5
1Eu,0.5
1F,0.5
1Lz,0.6
1A,1.1
2T,1.3
2S,1.3
2Lo,1.7
2F,1.8
2Lz,2.1
2A,3.3
3T,4.2
3S,4.3
3Lo,4.9
3F,5.3
3Lz,5.9
3A,8.0
4T,9.5
4S,9.7
4Lo,10.5
4F,11.0
4Lz,11.5
4A,12.5
5T,14.0
5S,14.0
5Lo,14.0
5F,14.0
5Lz,14.0
1Tq,0.4
1Sq,0.4
1Loq,0.5
1Fq,0.5
1Lzq,0.6
1T<,0.32
1S<,0.32
1Lo<,0.4
1F<,0.4
1Lz<,0.48
1T<<,0.0
1S<<,0.0
1Lo<<,0.0
1Eu<<,0.0
1F<<,0.0
1Lz<<,0.0
1Fe,0.4
1Feq,0.4
1Fe<,0.3
1Fe<<,0.0
1Lze,0.48
1Lzeq,0.48
1Lze<,0.36
1Lze<<,0.0
1F!,0.5
1F!q,0.5
1F!<,0.4
1F!<<,0.0
1Lz!,0.6
1Lz!q,0.6
1Lz!<,0.48
1Lz!<<,0.0
1Aq,1.1
2Tq,1.3
2Sq,1.3
2Loq,1.7
2Fq,1.8
2Lzq,2.1
1A<,0.88
2T<,1.04
2S<,1.04
2Lo<,1.36
2F<,1.44
2Lz<,1.68
1A<<,0.0
2T<<,0.4
2S<<,0.4
2Lo<<,0.5
2F<<,0.5
2Lz<<,0.6
2Fe,1.44
2Feq,1.44
2Fe<,1.08
2Fe<<,0.4
2Lze,1.68
2Lzeq,1.68
2Lze<,1.26
2Lze<<,0.48
2F!,1.8
2F!q,1.8
2F!<,1.44
2F!<<,0.5
2Lz!,2.1
2Lz!q,2.1
2Lz!<,1.68
2Lz!<<,0.6
2Ab,3.3
3Tb,4.2
3Sb,4.3
3Lob,4.9
3Fb,5.3
3Lzb,5.9
2Aq,3.3
3Tq,4.2
3Sq,4.3
3Loq,4.9
3Fq,5.3
3Lzq,5.9
2Aqb,3.3
3Tqb,4.2
3Sqb,4.3
3Loqb,4.9
3Fqb,5.3
3Lzqb,5.9
2A<,2.64
3T<,3.36
3S<,3.44
3Lo<,3.92
3F<,4.24
3Lz<,4.72
2A<<,1.1
3T<<,1.3
3S<<,1.3
3Lo<<,1.7
3F<<,1.8
3Lz<<,2.1
3Fe,4.24
3Feq,4.24
3Fe<,3.18
3Fe<<,1.44
3Lze,4.72
3Lzeq,4.72
3Lze<,3.54
3Lze<<,1.68
3F!,5.3
3F!b,5.3
3F!q,5.3
3F!qb,5.3
3F!<,4.24
3F!<<,1.8
3Lz!,5.9
3Lz!b,5.9
3Lz!q,5.9
3Lz!qb,5.9
3Lz!<,4.72
3Lz!<<,2.1
3Ab,8.0
3Aq,8.0
3Aqb,8.0
4Tq,9.5
4Sq,9.7
4Loq,10.5
4Fq,11.0
4Lzq,11.5
4Aq,12.5
3A<,6.4
4T<,7.6
4S<,7.76
4Lo<,8.4
4F<,8.8
4Lz<,9.2
4A<,10.0
3A<<,3.3
4T<<,4.2
4S<<,4.3
4Lo<<,4.9
4F<<,5.3
4Lz<<,5.9
4A<<,8.0
4Fe,8.8
4Feq,8.8
4Fe<,6.6
4Fe<<,4.24
4Lze,9.2
4Lzeq,9.2
4Lze<,6.9
4Lze<<,4.72
4F!,11.0
4F!q,11.0
4F!<,8.8
4F!<<,5.3
4Lz!,11.5
4Lz!q,11.5
4Lz!<,9.2
4Lz!<<,5.9
5Tq,14.0
5Sq,14.0
5Loq,14.0
5Fq,14.0
5Lzq,14.0
5T<,11.2
5S<,11.2
5Lo<,11.2
5F<,11.2
5Lz<,11.2
5T<<,9.5
5S<<,9.5
5Lo<<,9.5
5F<<,9.5
5Lz<<,9.5
5Fe,11.2
5Feq,11.2
5Fe<,8.4
5Fe<<,7.6
5Lze,11.2
5Lzeq,11.2
5Lze<,8.4
5Lze<<,7.6
5F!,14.0
5F!q,14.0
5F!<,11.2
5F!<<,9.5
5Lz!,14.0
5Lz!q,14.0
5Lz!<,11.2
5Lz!<<,9.5
USpB,1.0
USp1,1.2
USp2,1.5
USp3,1.9
USp4,2.4
LSpB,1.2
LSp1,1.5
LSp2,1.9
LSp3,2.4
LSp4,2.7
CSpB,1.1
CSp1,1.4
CSp2,1.8
CSp3,2.3
CSp4,2.6
SSpB,1.1
SSp1,1.3
SSp2,1.6
SSp3,2.1
SSp4,2.5
FUSpB,1.5
FUSp1,1.7
FUSp2,2.0
FUSp3,2.4
FUSp4,2.9
FUSpBV,1.13
FUSp1V,1.28
FUSp2V,1.5
FUSp3V,1.8
FUSp4V,2.18
FLSpB,1.7
FLSp1,2.0
FLSp2,2.4
FLSp3,2.9
FLSp4,3.2
FLSpBV,1.28
FLSp1V,1.5
FLSp2V,1.8
FLSp3V,2.18
FLSp4V,2.4
FCSpB,1.6
FCSp1,1.9
FCSp2,2.3
FCSp3,2.8
FCSp4,3.2
FCSpBV,1.2
FCSp1V,1.43
FCSp2V,1.73
FCSp3V,2.1
FCSp4V,2.4
FSSpB,1.7
FSSp1,2.0
FSSp2,2.3
FSSp3,2.6
FSSp4,3.0
FSSpBV,1.28
FSSp1V,1.5
FSSp2V,1.73
FSSp3V,1.95
FSSp4V,2.25
CUSpB,1.5
CUSp1,1.7
CUSp2,2.0
CUSp3,2.4
CUSp4,2.9
CUSpBV,1.13
CUSp1V,1.28
CUSp2V,1.5
CUSp3V,1.8
CUSp4V,2.18
FCUSpB,1.5
FCUSp1,1.7
FCUSp2,2.0
FCUSp3,2.4
FCUSp4,2.9
FCUSpBV,1.13
FCUSp1V,1.28
FCUSp2V,1.5
FCUSp3V,1.8
FCUSp4V,2.18
CLSpB,1.7
CLSp1,2.0
CLSp2,2.4
CLSp3,2.9
CLSp4,3.2
CLSpBV,1.28
CLSp1V,1.5
CLSp2V,1.8
CLSp3V,2.18
CLSp4V,2.4
FCLSpB,1.7
FCLSp1,2.0
FCLSp2,2.4
FCLSp3,2.9
FCLSp4,3.2
FCLSpBV,1.28
FCLSp1V,1.5
FCLSp2V,1.8
FCLSp3V,2.18
FCLSp4V,2.4
CCSpB,1.7
CCSp1,2.0
CCSp2,2.3
CCSp3,2.8
CCSp4,3.2
CCSpBV,1.28
CCSp1V,1.5
CCSp2V,1.73
CCSp3V,2.1
CCSp4V,2.4
FCCSpB,1.7
FCCSp1,2.0
FCCSp2,2.3
FCCSp3,2.8
FCCSp4,3.2
FCCSpBV,1.28
FCCSp1V,1.5
FCCSp2V,1.73
FCCSp3V,2.1
FCCSp4V,2.4
CSSpB,1.6
CSSp1,1.9
CSSp2,2.3
CSSp3,2.6
CSSp4,3.0
CSSpBV,1.2
CSSp1V,1.43
CSSp2V,1.73
CSSp3V,1.95
CSSp4V,2.25
FCSSpB,1.6
FCSSp1,1.9
FCSSp2,2.3
FCSSp3,2.6
FCSSp4,3.0
FCSSpBV,1.2
FCSSp1V,1.43
FCSSp2V,1.73
FCSSp3V,1.95
FCSSp4V,2.25
CoSpB,1.5
CoSp1,1.7
CoSp2,2.0
CoSp3,2.5
CoSp4,3.0
CoSpBV,1.13
CoSp1V,1.28
CoSp2V,1.5
CoSp3V,1.88
CoSp4V,2.25
FCoSpB,1.5
FCoSp1,1.7
FCoSp2,2.0
FCoSp3,2.5
FCoSp4,3.0
FCoSpBV,1.13
FCoSp1V,1.28
FCoSp2V,1.5
FCoSp3V,1.88
FCoSp4V,2.25
CCoSpB,1.7
CCoSp1,2.0
CCoSp2,2.5
CCoSp3,3.0
CCoSp4,3.5
CCoSpBV,1.28
CCoSp1V,1.5
CCoSp2V,1.88
CCoSp3V,2.25
CCoSp4V,2.63
FCCoSpB,1.7
FCCoSp1,2.0
FCCoSp2,2.5
FCCoSp3,3.0
FCCoSp4,3.5
FCCoSpBV,1.28
FCCoSp1V,1.5
FCCoSp2V,1.88
FCCoSp3V,2.25
FCCoSp4V,2.63
StSqB,1.5
StSq1,1.8
StSq2,2.6
StSq3,3.3
StSq4,3.9
ChSq1,3.0
1LiB,1.4
1Li1,1.5
1Li2,1.7
1Li3,1.9
1Li4,2.1
2LiB,1.5
2Li1,1.9
2Li2,2.3
2Li3,2.7
2Li4,3.1
3LiB,3.5
3Li1,3.9
3Li2,4.3
3Li3,4.7
3Li4,5.1
4LiB,3.5
4Li1,3.9
4Li2,4.3
4Li3,4.7
4Li4,5.1
5SLiB,4.6
5SLi1,5.0
5SLi2,5.4
5SLi3,5.8
5SLi4,6.2
5TLiB,4.6
5TLi1,5.0
5TLi2,5.4
5TLi3,5.8
5TLi4,6.2
5BLiB,5.0
5BLi1,5.4
5BLi2,5.8
5BLi3,6.2
5BLi4,6.5
5ALiB,5.4
5ALi1,5.8
5ALi2,6.2
5ALi3,6.6
5ALi4,7.0
5RLiB,5.4
5RLi1,5.8
5RLi2,6.2
5RLi3,6.6
5RLi4,7.0
1TwB,0.9
1Tw1,1.1
1Tw2,1.3
1Tw3,1.5
1Tw4,1.7
1TwB<<,0.0
1Tw1<<,0.0
1Tw2<<,0.0
1Tw3<<,0.0
1Tw4<<,0.0
2TwB,2.6
2Tw1,2.8
2Tw2,3.0
2Tw3,3.2
2Tw4,3.4
2TwB<<,0.9
2Tw1<<,1.1
2Tw2<<,1.3
2Tw3<<,1.5
2Tw4<<,1.7
3TwB,4.8
3Tw1,5.1
3Tw2,5.4
3Tw3,5.7
3Tw4,6.0
3TwB<<,2.6
3Tw1<<,2.8
3Tw2<<,3.0
3Tw3<<,3.2
3Tw4<<,3.4
4TwB,6.4
4Tw1,6.8
4Tw2,7.2
4Tw3,7.6
4Tw4,8.0
4TwB<<,4.8
4Tw1<<,5.1
4Tw2<<,5.4
4Tw3<<,5.7
4Tw4<<,6.0
1TTh,1.1
1STh,1.1
1LoTh,1.4
1FTh,1.4
1LzTh,1.4
1TThq,1.1
1SThq,1.1
1LoThq,1.4
1FThq,1.4
1LzThq,1.4
1TTh<,0.83
1STh<,0.83
1LoTh<,1.05
1FTh<,1.05
1LzTh<,1.05
1TTh<<,0.0
1STh<<,0.0
1LoTh<<,0.0
1FTh<<,0.0
1LzTh<<,0.0
1ATh,2.2
2TTh,2.5
2STh,2.5
2LoTh,2.8
2FTh,3.0
2LzTh,3.0
1AThq,2.2
2TThq,2.5
2SThq,2.5
2LoThq,2.8
2FThq,3.0
2LzThq,3.0
1ATh<,1.65
2TTh<,1.88
2STh<,1.88
2LoTh<,2.1
2FTh<,2.25
2LzTh<,2.25
1ATh<<,0.0
2TTh<<,1.1
2STh<<,1.1
2LoTh<<,1.4
2FTh<<,1.4
2LzTh<<,1.4
2ATh,4.0
3TTh,4.4
3STh,4.4
3LoTh,5.0
3FTh,5.3
3LzTh,5.3
2AThq,4.0
3TThq,4.4
3SThq,4.4
3LoThq,5.0
3FThq,5.3
3LzThq,5.3
2ATh<,3.0
3TTh<,3.3
3STh<,3.3
3LoTh<,3.75
3FTh<,3.98
3LzTh<,3.98
2ATh<<,2.2
3TTh<<,2.5
3STh<<,2.5
3LoTh<<,2.8
3FTh<<,3.0
3LzTh<<,3.0
3ATh,6.0
4TTh,6.5
4STh,6.5
4LoTh,7.0
4FTh,7.5
4LzTh,7.5
3AThq,6.0
4TThq,6.5
4SThq,6.5
4LoThq,7.0
4FThq,7.5
4LzThq,7.5
3ATh<,4.5
4TTh<,4.88
4STh<,4.88
4LoTh<,5.25
4FTh<,5.63
4LzTh<,5.63
3ATh<<,4.0
4TTh<<,4.4
4STh<<,4.4
4LoTh<<,5.0
4FTh<<,5.3
4LzTh<<,5.3
BiDsB,2.8
BiDs1,3.1
BiDs2,3.4
BiDs3,3.7
BiDs4,4.0
FiDsB,2.6
FiDs1,2.9
FiDs2,3.2
FiDs3,3.5
FiDs4,3.8
BoDsB,3.2
BoDs1,3.6
BoDs2,4.0
BoDs3,4.4
BoDs4,4.8
FoDsB,3.5
FoDs1,3.9
FoDs2,4.3
FoDs3,4.7
FoDs4,5.1
BiDs2b,3.4
BiDs3b,3.7
FiDs2b,3.2
FiDs3b,3.5
BoDs2b,4.0
BoDs3b,4.4
FoDs2b,4.3
FoDs3b,4.7
PiF1,2.2
PSpB,1.7
PSp1,2.0
PSp2,2.5
PSp3,3.0
PSp4,3.5
PCoSpB,2.5
PCoSp1,3.0
PCoSp2,3.5
PCoSp3,4.0
PCoSp4,4.5
PCoSpBV,1.88
PCoSp1V,2.25
PCoSp2V,2.63
PCoSp3V,3.0
PCoSp4V,3.38
